part;vendor;datasheet;density;width;voltage;footprint_default;footprint_filters;temperature;ce;page_size;block_size;cells;speed;alias
MT29F128G08AJAAAWP;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f128g08ajaaawp-itz;128Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;
MT29F128G08AKCABH2;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f128g08akcabh2-10it;128Gb;x8;;Package_BGA:BGA-100_10x17_Layout12x18mm_P1.0mm;"[""Package*:*BGA*10x17*Layout12x18*P1.0mm*""]";-40 to +85°C;;;;SLC;;
MT29F128G08AMCABH2;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f128g08amcabh2-10itz;128Gb;x8;;Package_BGA:BGA-100_10x17_Layout12x18mm_P1.0mm;"[""Package*:*BGA*10x17*Layout12x18*P1.0mm*""]";-40 to +85°C;;;;SLC;;
MT29F128G08AMCDBJ5;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f128g08amcdbj5-6;128Gb;x8;;Package_BGA:BGA-132_12x18mm_Layout11x17_P1.0mm;"[""Package*:*BGA*12x18mm*Layout11x17*P1.0mm*""]";0 to +70°C;;;;SLC;;
MT29F16G08ABABAWP;Micron;;16Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;"[{""part"":""MT29F16G08ABABAWP-AIT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f16g08ababawp-ait""},{""part"":""MT29F16G08ABABAWP-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f16g08ababawp-it""}]"
MT29F16G08ABACAWP;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f16g08abacawp-itz;16Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;
MT29F16G08ABCBBH1;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f16g08abcbbh1-12ait;16Gb;x8;;Package_BGA:BGA-100_10x17_Layout12x18mm_P1.0mm;"[""Package*:*BGA*10x17*Layout12x18*P1.0mm*""]";-40 to +85°C;;;;SLC;;
MT29F16G08ABCCBH1;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f16g08abccbh1-10itz;16Gb;x8;;Package_BGA:BGA-100_10x17_Layout12x18mm_P1.0mm;"[""Package*:*BGA*10x17*Layout12x18*P1.0mm*""]";-40 to +85°C;;;;SLC;;
MT29F16G08AJADAWP;Micron;https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f16g08ajadawp-it;16Gb;x8;;Package_SO:TSOP-I-48_18.4x12mm_P0.5mm;"[""Package*:*TSOP*18.4x12mm*P0.5mm*""]";-40 to +85°C;;;;SLC;;
MT29F1G08ABADAH4;Micron;;1Gb;x8;;Package_BGA:BGA-63_9x11mm_Layout10x12_P0.8mm;"[""Package*:*BGA*Layout10x12*P0.8mm*""]";;;;;SLC;;"[{""part"":""MT29F1G08ABADAH4-IT"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f1g08abadah4-it""},{""part"":""MT29F1G08ABADAH4-ITX"",""temperature"":""-40 to +85°C"",""datasheet"":""https://www.micron.com/products/nand-flash/slc-nand/part-catalog/mt29f1g08abadah4-itx""}]"
